origin_country,destination_country,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,placement_status
Russia,UK,Medicine,-1.9317572353062964,Yes,Political Stability,-2.380904047250019,0.7336658306717467,J1,PSW,Duolingo,0.6272563133278297,0
Finland,Russia,Social Sciences,0.8580399444467794,No,Political Stability,0.7295950565909541,1.0606127622730297,F1,Post-Study Visa,Duolingo,0.0344882580030296,0
Finland,UK,Computer Science,-0.968345901896439,Yes,Political Stability,-1.5597832060869623,1.4277003224966407,Study Permit,Post-Study Visa,TOEFL,1.0680711717390259,1
UK,Finland,Business,0.8069516893546733,No,Quality of Life,0.7879283035802739,-1.8693603835479244,Tier 4,PSW,TOEFL,1.042006729773542,1
Ireland,UK,Law,-1.775297146618273,Yes,Job Opportunities,-2.350065285229959,2.2702950672127042,Schengen Student Visa,Blue Card,TOEFL,1.287479204941927,0
Canada,South Africa,Law,0.8924059465267317,No,Scholarship,0.019802440091210207,-0.491578672064231,Student Visa,Work Permit,PTE,1.3516492165247875,0
UK,India,Engineering,1.7799456947184584,Yes,Higher Ranking,1.5241512902429515,0.7948464010773834,Tier 4,OPT,Duolingo,0.33093892008959935,0
Ireland,Germany,Medicine,0.8844003544290684,No,Job Opportunities,-0.03455543328914201,-0.8377951359091094,J1,Post-Study Visa,TOEFL,0.5544000290294375,1
Finland,South Africa,Social Sciences,1.7907005069218744,No,Higher Ranking,2.366258675209674,1.91833201835909,Study Permit,PSW,None,0.7734824141988098,0
Russia,South Africa,Law,0.9446246630991408,Yes,Scholarship,-0.05023492344422312,-0.6632342432806264,F1,Blue Card,IELTS,1.3827166543308729,0
Canada,Finland,Natural Sciences,-1.7993607586278473,Yes,Political Stability,-0.8374330999626762,1.005871930114688,Tier 4,Blue Card,Duolingo,0.16029025091118804,1
Finland,UAE,Business,-0.002199371685358718,Yes,Quality of Life,-0.737509583029161,-2.019963890918088,Student Visa,Work Permit,Duolingo,0.27418814861530405,1
South Africa,Germany,Natural Sciences,-1.824945669380789,Yes,Job Opportunities,-0.8043708249968052,-0.16654254961089168,F1,OPT,IELTS,-2.47156983166849,1
USA,UK,Natural Sciences,1.8138257707287793,No,Political Stability,0.7529430105662307,-0.31876354126022544,Student Visa,Work Permit,Duolingo,0.8310706734914688,1
Finland,Ireland,Business,-1.7308398627220742,Yes,Higher Ranking,-1.6859556569687886,-1.4963351093036088,Student Visa,PSW,TOEFL,1.0204370491524029,0
Russia,Germany,Social Sciences,-1.0746661041799916,Yes,Scholarship,-1.6107436259711625,1.485073301954269,J1,Blue Card,None,-2.463999803164457,1
Finland,UAE,Natural Sciences,-1.89395560934772,No,Political Stability,-2.37605889998765,1.2276977339615747,Schengen Student Visa,PSW,Duolingo,1.0842791525756208,0
Canada,Finland,Social Sciences,0.8354257557533746,No,Higher Ranking,1.6231926573904862,1.0118200600994096,Tier 4,OPT,Duolingo,0.15618761456572838,1
Russia,Germany,Engineering,0.901582887503462,No,Quality of Life,0.7662816476107437,-0.1408693693266917,Schengen Student Visa,OPT,PTE,0.12960118015468414,1
Finland,USA,Law,-0.8815234325765522,Yes,Scholarship,-0.8294467046148083,-1.5298218965964265,J1,Post-Study Visa,PTE,0.9243772895598698,1
India,UK,Engineering,1.7912583571586207,No,Quality of Life,2.2671875935666237,1.8838246412106052,Study Permit,Post-Study Visa,PTE,0.9165038375776104,0
Canada,India,Business,0.8034885272795026,Yes,Scholarship,-0.08019371982309138,1.107185376591371,Study Permit,Work Permit,IELTS,0.39801878651229444,1
India,South Africa,Natural Sciences,1.8175840019524243,Yes,Higher Ranking,2.303153180482483,-0.7944710696596216,Schengen Student Visa,OPT,TOEFL,0.027400710066896358,1
USA,Germany,Natural Sciences,-1.8333788184792914,No,Higher Ranking,-1.5600216042069484,0.6581306838249772,Study Permit,Blue Card,Duolingo,-0.11163520309085118,0
USA,Russia,Business,0.06464324260469115,Yes,Job Opportunities,-0.8462062395201557,1.480166721547667,Student Visa,Work Permit,None,0.8812294129197601,1
UK,Germany,Computer Science,0.016208925455005935,No,Political Stability,-0.031169884501942604,-1.5456404250430078,Student Visa,Blue Card,Duolingo,-0.030935094661496656,1
Canada,Russia,Medicine,-0.037774604157825326,Yes,Scholarship,-0.014428178081531353,0.2602904638560487,F1,PSW,Duolingo,-0.1815652507802912,0
Canada,India,Law,0.9263421697266805,No,Political Stability,0.710606372139733,0.6801205129152854,Schengen Student Visa,Work Permit,TOEFL,0.09535416900678834,1
UAE,Russia,Law,-0.039958978098169326,Yes,Political Stability,0.7481882433178986,1.4798182666035926,Schengen Student Visa,Post-Study Visa,PTE,1.364430713039682,0
Germany,UK,Business,0.9867876484233136,Yes,Political Stability,0.007169493673218268,-0.8358817792969935,Schengen Student Visa,Work Permit,Duolingo,0.2952854415923448,0
Russia,USA,Computer Science,0.925388516916249,No,Scholarship,1.616197273199403,0.7938493429369398,J1,Work Permit,Duolingo,1.2761879573915837,1
Finland,Canada,Natural Sciences,-0.06449576840782527,Yes,Scholarship,0.8021080595259644,2.0336460345905745,Schengen Student Visa,Work Permit,None,-2.4596182470086076,1
Canada,Germany,Law,-0.004807281582977132,No,Scholarship,-0.7835411320876765,1.8390457219422298,Tier 4,Work Permit,None,-2.456093475372318,0
UK,Russia,Engineering,-1.839550120960202,Yes,Job Opportunities,-0.8612745944123413,-0.030999156732445327,Study Permit,Post-Study Visa,None,-2.4525230850635023,0
UAE,UAE,Arts,0.8506303476637086,Yes,Scholarship,0.7332284018887755,0.37087545187570325,Student Visa,Blue Card,IELTS,-0.08048542603417877,0
Russia,UAE,Arts,0.9315706570348948,Yes,Scholarship,0.7181620538168229,1.4775567064795885,Schengen Student Visa,Post-Study Visa,IELTS,-0.1951708558700495,0
Finland,Germany,Medicine,-1.845267761924472,No,Job Opportunities,-1.4772587383079057,-1.2669318946141286,F1,Post-Study Visa,None,0.781931347040591,0
Germany,Russia,Medicine,-0.9812001222539789,Yes,Job Opportunities,-0.07505144770654953,1.080439871931874,Tier 4,Work Permit,TOEFL,0.0950028170933194,1
Germany,South Africa,Medicine,-0.009013685406821608,No,Higher Ranking,0.7156545134198502,-0.7463525801076136,Schengen Student Visa,OPT,TOEFL,-0.2633071078297088,0
South Africa,Germany,Arts,-0.8746317587413146,No,Scholarship,-1.6182613825544283,0.6604223922781193,Tier 4,OPT,PTE,-0.04358742778182598,1
UK,India,Arts,-0.00801661629755734,Yes,Job Opportunities,-0.7800341407444265,0.0972947671000436,J1,OPT,IELTS,1.293849108416813,0
Germany,Germany,Computer Science,0.9349908395414249,Yes,Higher Ranking,0.78499712730127,-1.4744869487563155,F1,PSW,PTE,1.1776751765041282,1
USA,Finland,Arts,0.8879734652235304,Yes,Quality of Life,1.5684806678325542,-1.8932928144548988,Study Permit,Blue Card,None,-2.4402157499718617,1
UK,Finland,Medicine,-1.900926681594973,Yes,Scholarship,-2.385546949253076,-2.0072761665709744,Student Visa,PSW,PTE,0.5087935563863557,0
Canada,USA,Natural Sciences,1.781479490548597,Yes,Higher Ranking,2.4382587850679314,0.043206756216481325,Schengen Student Visa,OPT,None,-2.4110657196397676,1
UAE,Ireland,Law,1.7603347639855438,No,Job Opportunities,2.316168524628527,-1.8065099574685197,F1,PSW,PTE,1.3691435947448196,1
Canada,Canada,Arts,-0.9012055680369722,Yes,Political Stability,-0.016731297776056243,1.9490063105408628,Study Permit,Work Permit,None,-2.5098800229933005,1
Germany,Germany,Engineering,0.9515290952645262,No,Scholarship,0.03722249134447983,-1.8387909032656216,J1,PSW,None,0.15067490588627905,1
UK,UAE,Social Sciences,0.9017673936244174,No,Scholarship,1.574667344950842,-1.3235042761057858,J1,Work Permit,IELTS,-0.028813798056935416,0
Russia,USA,Medicine,1.7677722192128489,No,Scholarship,1.5023817677768856,-2.121987151808254,F1,OPT,IELTS,-0.10471801476742082,0
India,USA,Engineering,1.7530768803607664,Yes,Quality of Life,1.5312474931023974,0.02180236391516644,Study Permit,OPT,TOEFL,0.11773806597479276,1
USA,Canada,Social Sciences,-0.98593952216175,Yes,Scholarship,-0.7342624536738762,1.1508722953138608,Schengen Student Visa,PSW,TOEFL,1.1836182050058388,0
South Africa,Finland,Social Sciences,1.8246685718976263,Yes,Higher Ranking,0.7387912138821958,-0.7791000119096978,J1,OPT,TOEFL,0.22195608294344976,1
Russia,USA,Arts,-1.8177372787378738,No,Quality of Life,-0.7133244984879371,-2.140802063772226,Study Permit,Work Permit,IELTS,1.2573726969358883,0
USA,Germany,Natural Sciences,0.9497832905077721,No,Quality of Life,0.6975070338892745,-0.9602301504244425,Schengen Student Visa,OPT,Duolingo,-0.29579136697201025,0
Germany,UAE,Law,-0.8053489768613581,Yes,Political Stability,-1.6309451698395518,1.504356938484399,F1,Blue Card,Duolingo,0.4110957035980149,1
Canada,India,Arts,1.7629391725281118,No,Higher Ranking,2.347124376435942,-2.2430338692774163,Student Visa,Work Permit,PTE,0.45755052724278256,0
Russia,Finland,Business,1.8049998159608796,No,Job Opportunities,1.5485881881724395,-0.01917733577617096,F1,Post-Study Visa,TOEFL,-2.3721334306853503,1
Ireland,India,Natural Sciences,-0.890548530474385,Yes,Job Opportunities,-0.8934411311308975,0.439995259950866,Study Permit,Blue Card,None,-2.402189960864733,1
USA,South Africa,Law,1.8322802295026361,No,Quality of Life,1.615167398240978,-1.6064598930848748,F1,Post-Study Visa,IELTS,0.8296609489308561,0
India,South Africa,Computer Science,-0.8880475122078842,Yes,Political Stability,-1.6419114958573096,-0.3559398882940723,Schengen Student Visa,PSW,IELTS,0.4154936752195756,0
UK,South Africa,Law,0.8880812897664274,No,Scholarship,0.7616619090623795,-1.4956930029357491,Tier 4,PSW,Duolingo,0.26908961257235897,0
USA,South Africa,Computer Science,-0.9243088822032015,Yes,Job Opportunities,-0.8482867909314564,-0.8900681611142933,Student Visa,OPT,Duolingo,1.2034933181096188,0
UAE,Finland,Business,-1.76557920075775,No,Political Stability,-1.5897616807891901,-1.6197249195854735,F1,Blue Card,IELTS,0.01376704541460627,0
Ireland,Canada,Natural Sciences,0.02774611197265213,Yes,Quality of Life,0.04615353819602809,-0.9359327230655665,Schengen Student Visa,PSW,TOEFL,-2.5915623544407693,1
Russia,Germany,Medicine,1.8369593528397916,No,Political Stability,0.7354696935191047,1.3290414078820054,F1,Blue Card,None,-2.515745662271978,1
UAE,Finland,Social Sciences,-1.9085407434029782,No,Higher Ranking,-2.3263181288782984,0.48307623306290365,Schengen Student Visa,Blue Card,IELTS,0.9771681653007487,1
Canada,Ireland,Business,-1.8076999002052672,Yes,Scholarship,-2.377912761535169,-1.510235507837083,Schengen Student Visa,OPT,IELTS,0.3009803488058656,1
Germany,UAE,Medicine,0.027542113480480003,No,Political Stability,-0.036007627308881296,-1.0954503358868428,Tier 4,PSW,None,-2.5193467834492154,1
UAE,UK,Law,1.8694142254083195,No,Political Stability,2.3294707478439705,0.38994813990196825,Student Visa,PSW,None,-2.4640575496515016,0
Canada,Ireland,Social Sciences,-1.8251425035153532,No,Job Opportunities,-1.5948569474997207,0.973874664663283,J1,Blue Card,TOEFL,1.1912692728194836,1
India,Germany,Arts,0.012527113741835684,No,Scholarship,-0.04289285865633749,-0.10999311853071271,Tier 4,Work Permit,Duolingo,0.5607739401730452,0
India,Canada,Natural Sciences,-0.006418402502617885,No,Higher Ranking,-0.008210611192343925,-0.0979935079559999,Tier 4,Post-Study Visa,PTE,1.2090826530967025,0
Finland,USA,Business,-1.8475663193319878,Yes,Political Stability,-0.816272466567407,1.5203519083200185,F1,PSW,TOEFL,0.6440665605577249,0
UAE,Germany,Computer Science,1.760426334698332,Yes,Quality of Life,1.5143411086646972,-1.536625676174754,Schengen Student Visa,PSW,PTE,-0.15310524175965498,1
Finland,UAE,Law,-1.7731753217840966,Yes,Scholarship,-2.3429760506401895,0.9684976890366856,Tier 4,Blue Card,None,-2.5618777102627504,0
UK,South Africa,Arts,-1.8746995916041942,No,Job Opportunities,-0.7602661134713646,0.8697268391616306,F1,Post-Study Visa,None,-2.4613281105433114,1
UK,UK,Medicine,-1.8761505227163822,Yes,Quality of Life,-2.3720896533897715,2.247917830078812,J1,Post-Study Visa,TOEFL,0.3141009520504898,1
South Africa,India,Business,0.8714589032613265,No,Political Stability,1.5702355313025071,-1.4105615584837718,Tier 4,Post-Study Visa,TOEFL,0.9358708312988746,0
USA,Russia,Natural Sciences,-1.773355764612048,Yes,Quality of Life,-1.584442284236407,0.7719744335630842,Study Permit,Blue Card,Duolingo,1.0326276782376418,1
South Africa,Russia,Business,1.8611452006099427,Yes,Higher Ranking,2.2699086956342485,-0.8882242581151019,Schengen Student Visa,Work Permit,IELTS,0.8103860355016802,0
India,UAE,Law,1.8094287940725264,Yes,Scholarship,2.359592563766934,0.5638188265440728,Schengen Student Visa,Work Permit,Duolingo,-2.4899077577556996,1
South Africa,Canada,Arts,-0.015454548915042936,No,Political Stability,-0.8079651439893163,0.5227961845548431,Student Visa,Blue Card,IELTS,1.2106761911092734,0
Canada,UK,Law,-0.8939871085918488,Yes,Higher Ranking,-1.4444195946936778,-0.6196803927512825,Student Visa,Post-Study Visa,PTE,-0.12376703521001589,1
UK,South Africa,Medicine,-1.908430755365396,No,Job Opportunities,-2.39988427726826,-0.9222748144167835,Study Permit,Post-Study Visa,TOEFL,0.003960956763636761,0
UAE,South Africa,Law,-1.0051344965199414,Yes,Higher Ranking,0.026889371602499424,-2.2622850585180188,J1,Work Permit,IELTS,-0.30460689270289465,1
Germany,Ireland,Arts,0.9169334346365088,Yes,Political Stability,0.09664971302152396,1.6502352522025323,Study Permit,Post-Study Visa,PTE,-0.263390365972308,0
Germany,UK,Social Sciences,1.774279646206365,Yes,Scholarship,1.589036814414539,2.137627750575956,Study Permit,Work Permit,IELTS,-2.4178884447609943,1
South Africa,India,Social Sciences,-0.029230688091326125,No,Quality of Life,-0.7394170851414087,0.5383318891069764,Schengen Student Visa,Post-Study Visa,Duolingo,0.5188214160910227,0
USA,South Africa,Business,-1.828591248898275,No,Higher Ranking,-2.331506599720603,0.45830588006275436,Tier 4,PSW,TOEFL,-0.13232096541229646,1
India,UK,Engineering,1.8087970254190286,No,Quality of Life,1.5084694206312796,1.1594372334228307,Study Permit,Work Permit,PTE,1.1587408214415922,1
UAE,UK,Engineering,0.9664440091258987,Yes,Job Opportunities,0.829240184150265,-2.3076424393343973,J1,PSW,IELTS,0.7352152224460102,1
India,Ireland,Medicine,-0.9766135679511382,No,Scholarship,-1.4914204229194175,-0.4807340132283732,Student Visa,Post-Study Visa,PTE,0.03767577619147279,1
India,Ireland,Arts,-0.014044566022598052,Yes,Political Stability,0.7196715754180905,0.4430981804538648,J1,Blue Card,TOEFL,0.04952187124435308,0
USA,Russia,Arts,-0.034201484060263285,No,Job Opportunities,-0.022068408758398377,2.0403992340264425,J1,Post-Study Visa,None,0.8204505133512295,0
Ireland,Russia,Arts,0.8785820595450577,Yes,Quality of Life,-0.059378930583980916,0.6648654627483879,Tier 4,Blue Card,None,-2.5219444340935255,0
USA,Ireland,Computer Science,-0.06327241242829765,Yes,Scholarship,0.029842363863238432,-0.14529759820481974,Study Permit,OPT,IELTS,1.48873383229882,0
India,Canada,Arts,-0.10117682407683945,No,Higher Ranking,-0.03228923915415752,0.360695471167389,Student Visa,Blue Card,Duolingo,1.3798954328441262,1
India,Finland,Social Sciences,1.7960063677581313,No,Political Stability,2.3158531754519065,-1.6640744393890037,Study Permit,Post-Study Visa,None,-2.537812096205359,0
Canada,Finland,Natural Sciences,-0.07442193108108194,No,Political Stability,-0.007995240330810586,0.1676914122165908,F1,OPT,Duolingo,0.9286775975726226,1
Russia,USA,Natural Sciences,-1.8139979592501692,Yes,Scholarship,-2.4074280291553345,1.4237251971966427,Student Visa,Work Permit,Duolingo,1.0427959365218216,1
Russia,South Africa,Natural Sciences,-0.04369516698981545,No,Political Stability,-0.027643925381654326,1.1713296591210343,Schengen Student Visa,Blue Card,PTE,0.4691124184631713,0
Finland,UK,Natural Sciences,-0.9559889584327391,Yes,Political Stability,-1.585811692644319,1.3522935587390414,Student Visa,Post-Study Visa,Duolingo,1.223755859415065,1
Germany,USA,Arts,0.9897414098006674,Yes,Scholarship,1.5791555528171886,-0.6599662841717822,Study Permit,PSW,None,-2.481258117464066,0
Russia,Russia,Arts,1.8360412903298446,No,Scholarship,0.8160636454605892,-1.988621929285427,Study Permit,Work Permit,IELTS,0.2524281620368713,1
USA,Germany,Engineering,0.8844035791483619,No,Job Opportunities,1.6199272556875557,0.9711935814655724,Tier 4,PSW,None,-2.4749859220970905,0
Finland,UK,Law,-0.8710057884396539,Yes,Political Stability,-0.8920837297081072,-1.1626105934168163,Schengen Student Visa,PSW,TOEFL,-0.29238450422626083,1
Ireland,Germany,Law,1.7509209872759868,No,Job Opportunities,1.617938701590543,2.087189946746578,J1,PSW,PTE,0.11635082070451763,0
India,Russia,Arts,-0.9060678808392636,No,Scholarship,-1.4633998752227695,-0.25566232944632644,J1,Post-Study Visa,PTE,1.1262687237857876,1
Russia,Germany,Arts,-0.07852584446223093,No,Quality of Life,-0.09179371831962833,-1.6277431008317949,Study Permit,Work Permit,TOEFL,0.8341425367098404,1
Canada,Russia,Engineering,-0.8165803861963543,Yes,Higher Ranking,-0.09112261527259023,-1.0570102494987736,J1,Work Permit,None,-0.010965637806900064,0
India,Canada,Arts,-0.02099719434386577,Yes,Political Stability,-0.7625873542647928,0.4781484380156111,Schengen Student Visa,PSW,PTE,-0.23227520459535128,0
Germany,Finland,Computer Science,-0.930902750851286,Yes,Political Stability,-0.03976002520733965,-0.14522521795522517,J1,OPT,TOEFL,1.1218447497844597,0
USA,Ireland,Engineering,1.9187541494185838,No,Higher Ranking,2.3589045427095727,-0.4561710688023079,Schengen Student Visa,Post-Study Visa,TOEFL,0.7556304316705166,1
Finland,South Africa,Social Sciences,0.8365222397621239,Yes,Political Stability,0.7994794087166944,1.0048044132583778,Study Permit,Work Permit,None,-2.5584640820464015,1
Finland,UK,Business,1.864874745724291,Yes,Quality of Life,2.3303134779464303,-0.36947238715793745,Tier 4,Work Permit,IELTS,0.8169191566492552,0
Ireland,South Africa,Arts,-1.8077730335758893,No,Higher Ranking,-0.7963044593817249,-0.8740374946721375,J1,Post-Study Visa,Duolingo,1.3056426776868209,1
India,UAE,Social Sciences,-1.769797520101824,Yes,Political Stability,-0.8846201052300637,-0.11164065368488414,Student Visa,Blue Card,IELTS,1.302010444426122,1
USA,Canada,Law,-1.9133365665246718,No,Job Opportunities,-2.3373250224395505,-1.8953765890552927,F1,Blue Card,PTE,1.132291572539701,0
India,USA,Arts,-0.9677429502336606,No,Political Stability,-1.55650776071211,0.4821358139898074,Student Visa,Work Permit,TOEFL,1.2099738010755205,0
Russia,UAE,Arts,1.7638120046141263,Yes,Scholarship,2.2605249308730784,-0.9161160960357404,Study Permit,PSW,Duolingo,1.3790761946552053,0
Russia,Finland,Social Sciences,0.8388068598774069,No,Scholarship,1.4551911209679538,-0.7034955251016067,Tier 4,Post-Study Visa,Duolingo,0.3244965623619248,1
USA,Canada,Engineering,1.8179728604928773,Yes,Scholarship,0.7647075031529293,-1.0000159252289886,Student Visa,Post-Study Visa,PTE,0.8229378764222485,0
Finland,Ireland,Law,-0.015905910665986633,Yes,Political Stability,-0.8664665820635288,0.684616055852227,Student Visa,Post-Study Visa,Duolingo,0.4046991912440766,1
India,UK,Law,-0.9336064622664847,No,Job Opportunities,-0.804575433946349,-0.8273372115399373,Student Visa,PSW,PTE,-2.5179557093843923,1
USA,Ireland,Arts,0.8842838144462675,Yes,Higher Ranking,-0.011059694460994097,-1.338296669076686,Student Visa,Post-Study Visa,None,-2.457987079709672,0
Germany,Russia,Engineering,0.020603939088697808,No,Quality of Life,-0.781704862004626,-1.3125874805015083,Study Permit,Work Permit,IELTS,-0.08560811063629242,1
Canada,UAE,Business,-0.8619010106665892,Yes,Scholarship,-0.7975952314383788,0.27405732080944567,Student Visa,OPT,IELTS,-2.327391864836739,0
Finland,South Africa,Law,-1.787345676848517,No,Scholarship,-2.4564319785640096,0.4709206373895422,F1,PSW,TOEFL,0.21751493331796284,0
Russia,India,Computer Science,1.796928375738094,No,Scholarship,0.8782877526726786,1.124093336728483,Student Visa,Post-Study Visa,TOEFL,0.49254171881598535,1
South Africa,Finland,Computer Science,0.05119852415126203,Yes,Quality of Life,-0.7853970831015086,1.621640980515946,F1,Work Permit,Duolingo,1.1899385600193444,1
Russia,Germany,Natural Sciences,0.9538850298488858,No,Higher Ranking,0.8394381058434252,-1.3451866070938738,Tier 4,PSW,PTE,-0.23301647965009176,0
UK,Finland,Law,-0.9237591876438801,No,Political Stability,-1.5715141892897366,0.8504332887408517,J1,OPT,None,-2.496605787757275,0
Russia,Ireland,Social Sciences,-0.9437446653791847,Yes,Scholarship,-0.05229143469526919,-0.02933085645608836,Tier 4,PSW,TOEFL,0.7433655016495865,0
South Africa,UAE,Natural Sciences,-1.8214738382674316,No,Quality of Life,-2.349126835035705,-1.50812796132637,F1,Work Permit,IELTS,1.4210231649784286,1
Russia,UK,Social Sciences,1.843936506328837,No,Political Stability,0.7769997004752706,-2.0600208431792675,Schengen Student Visa,Blue Card,IELTS,0.7512498789836419,1
India,UAE,Medicine,1.904574487321638,No,Scholarship,2.3382293891881045,-1.3770816635301297,Student Visa,PSW,PTE,-0.09218284785000178,1
Russia,Germany,Business,-0.8699041119908153,Yes,Scholarship,-0.004635108968107491,-0.019878130090732214,Tier 4,Blue Card,TOEFL,0.6138537108239518,0
Russia,South Africa,Computer Science,-0.9246826228812741,Yes,Political Stability,0.04316788702126792,1.9807993452531922,Schengen Student Visa,PSW,Duolingo,-0.2892435496326828,1
Russia,USA,Natural Sciences,0.8771794961457432,No,Higher Ranking,1.5245614280780146,-1.98552535186334,Schengen Student Visa,Post-Study Visa,TOEFL,0.9661863894701397,1
Germany,UAE,Computer Science,1.7717962045472448,No,Political Stability,2.4111175004004997,-2.138586762500072,J1,Blue Card,IELTS,0.3943314541322717,1
Ireland,USA,Medicine,-1.8928647620592627,No,Job Opportunities,-0.7270622053142544,-1.8148725860994213,Study Permit,Work Permit,None,-2.4823197088443965,0
UK,UK,Social Sciences,-0.11240484972048433,No,Scholarship,-0.7473728435987798,0.8450845127696521,Student Visa,Work Permit,IELTS,0.6976690372023926,1
India,Ireland,Law,0.8817361763715106,Yes,Job Opportunities,0.08456474353409205,1.220519075481046,J1,PSW,IELTS,1.0455672147158723,1
India,UK,Natural Sciences,-1.8181017168128073,Yes,Job Opportunities,-0.7641229855350041,1.7814324886104704,Tier 4,Work Permit,None,-2.539528087040503,1
Ireland,USA,Engineering,-1.8693914752105636,No,Quality of Life,-1.565867889515446,2.2258022247008187,Schengen Student Visa,OPT,IELTS,0.5961502403539891,0
UK,Germany,Computer Science,1.7905951935133149,Yes,Job Opportunities,1.521313931823589,1.2760805972602922,Schengen Student Visa,PSW,TOEFL,0.8015720468823966,1
Finland,South Africa,Engineering,-0.9713524296861356,No,Higher Ranking,-1.614407921535076,1.3468724892753365,J1,Post-Study Visa,PTE,-0.06427519566464485,0
South Africa,India,Arts,-0.9123524066014009,Yes,Job Opportunities,-0.7377963468610804,1.6015292698758494,Tier 4,Work Permit,PTE,-0.2146399586496221,1
Germany,USA,Engineering,-0.9277050760984965,No,Job Opportunities,-1.6284576724582247,-0.10902457633975435,Study Permit,PSW,None,-0.02615833228586084,0
UK,Russia,Business,-0.9247837634712455,Yes,Quality of Life,-0.8437863705949549,1.4837658520515382,J1,Work Permit,TOEFL,0.3947310183697502,1
USA,Canada,Arts,-1.7946327090006708,Yes,Political Stability,-2.461372717746706,-1.8159792494550109,Student Visa,Blue Card,PTE,0.9226670047663913,1
UAE,Finland,Arts,0.9026033010529553,No,Political Stability,1.616631410398654,1.1529799547213462,F1,PSW,None,-2.437831318484635,1
Germany,Germany,Medicine,0.8879768582019576,No,Scholarship,0.7198282707199047,-0.8931978006872696,F1,Post-Study Visa,None,-2.4366134614002295,0
India,Finland,Medicine,-1.892524603982688,Yes,Scholarship,-2.3071709164783902,-0.13397669136218082,Tier 4,PSW,Duolingo,0.9780727431899016,1
South Africa,Ireland,Social Sciences,-1.8959521555352727,Yes,Political Stability,-1.6064514416863824,-1.891163233993777,F1,PSW,None,-2.46859004748177,1
Russia,Germany,Medicine,-1.6689536326377346,No,Quality of Life,-0.7347527344333973,1.340016239565734,Study Permit,Blue Card,Duolingo,-0.19864730594682423,0
UAE,South Africa,Law,1.867678656421319,Yes,Political Stability,0.7389342683278751,-1.3022816376844146,Student Visa,Post-Study Visa,IELTS,-0.06819105118015188,0
Germany,UK,Business,1.8008706385091982,Yes,Scholarship,0.786844915907935,1.4902734700973836,Student Visa,PSW,None,-2.513249532560272,1
Germany,UK,Social Sciences,-0.8684960436266356,No,Higher Ranking,-1.5402203775742183,-1.6853825719835553,Study Permit,OPT,None,0.6891788221970682,1
South Africa,USA,Natural Sciences,0.7871113912548742,Yes,Higher Ranking,0.0021323609485575656,0.8217404437613761,Tier 4,OPT,None,-0.20383802897019637,1
USA,Russia,Social Sciences,1.8014667935519972,No,Higher Ranking,1.4351588713824985,2.046050930966942,F1,Blue Card,PTE,-2.5166304761044653,0
Finland,Canada,Business,1.8269558077566124,Yes,Scholarship,1.6250249167271098,1.874535022973447,Tier 4,Post-Study Visa,Duolingo,-2.477932169932843,0
USA,UK,Arts,-0.9044871159745687,Yes,Scholarship,0.04084443094744512,1.3818629334199544,Student Visa,OPT,Duolingo,0.06664777713012902,1
India,Ireland,Natural Sciences,-0.06495137628137518,No,Scholarship,-0.698731670439089,-1.964692037615795,Tier 4,Post-Study Visa,IELTS,-0.04767228505352018,0
South Africa,UAE,Natural Sciences,0.850658424268405,Yes,Scholarship,1.5876679054076346,-0.24245283689595792,Tier 4,Post-Study Visa,IELTS,-0.12802155528221207,0
Russia,Germany,Computer Science,1.9031773678188106,No,Scholarship,2.3220143233304755,-0.14176228008152475,Tier 4,OPT,Duolingo,0.7297118530927121,0
South Africa,Russia,Business,0.8608527086726726,Yes,Political Stability,1.611693275717281,1.9281820841019603,F1,OPT,IELTS,0.9836500803311855,1
South Africa,UK,Medicine,1.8887262924738975,Yes,Quality of Life,2.32518136442474,-1.5841876146465408,F1,Post-Study Visa,Duolingo,0.6138093975168698,1
South Africa,Canada,Social Sciences,-1.8417878219647794,Yes,Higher Ranking,-0.9342703598385487,-0.5007421731290952,J1,Post-Study Visa,PTE,-2.47572494691217,1
Germany,India,Arts,1.765226723497213,No,Quality of Life,1.5585903192305028,-1.812299212882374,Schengen Student Visa,Work Permit,None,-2.448920706633065,1
South Africa,India,Law,0.9407444105336944,Yes,Higher Ranking,0.042283580279900784,-1.5557076336031261,Tier 4,Work Permit,None,-2.5463571811289487,0
Canada,Germany,Engineering,-0.9838692741766594,Yes,Higher Ranking,-0.7665227169091072,0.04112016138161221,Schengen Student Visa,OPT,None,1.4799209390943942,1
USA,Russia,Natural Sciences,1.8214192923826522,No,Political Stability,2.3380453435358897,2.024338990040744,Tier 4,Post-Study Visa,None,1.13183993628181,1
Russia,Russia,Law,0.03919286034585359,No,Job Opportunities,0.7838114147182433,-1.7824608743689232,Student Visa,Work Permit,PTE,0.6244888247901953,0
UAE,USA,Natural Sciences,-1.8358655199292089,No,Job Opportunities,-0.8541602510801084,1.6625467173614823,Schengen Student Visa,PSW,TOEFL,1.0311889231362372,0
India,Ireland,Natural Sciences,0.9020128601581799,No,Job Opportunities,0.019529409761266357,-1.6495183301803364,Student Visa,PSW,TOEFL,0.7534614823361524,0
India,UK,Social Sciences,0.8328483320071138,Yes,Political Stability,-0.02784971993080762,-1.0620858139418148,J1,PSW,PTE,1.2400454658423445,1
